id,title,desc,category,image,price,createdAt,updatedAt
6,Fjallraven  Foldsack No 1 Backpack Fits 15 Laptops,Your perfect pack for everyday use and walks in the forest. Stash your laptop up to 15 inches in the padded sleeve your everyday,men's clothing,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg,329,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
7,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 25,3D NAND flash are applied to deliver high transfer speeds Remarkable transfer speeds that enable faster bootup and improved overall system performance. The advanced SLC Cache Technology allows performance boost and longer lifespan 7mm slim design suitable for Ultrabooks and Ultraslim notebooks. Supports TRIM command Garbage Collection technology RAID and ECC Error Checking  Correction to provide the optimized performance and enhanced reliability.,electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,109,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
8,White Gold Plated Princess,Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement Wedding Anniversary Valentines Day...,jewelery,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg,99,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
9,John Hardy Womens Legends Naga Gold  Silver Dragon Station Chain Bracelet,From our Legends Collection the Naga was inspired by the mythical water dragon that protects the oceans pearl. Wear facing inward to be bestowed with love and abundance or outward for protection.,jewelery,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg,6950,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
10,Mens Cotton Jacket,great outerwear jackets for SpringAutumnWinter suitable for many occasions such as working hiking camping mountainrock climbing cycling traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father husband or son in this thanksgiving or Christmas Day.,men's clothing,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg,615,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
11,Mens Casual Premium Slim Fit TShirts ,Slimfitting style contrast raglan long sleeve threebutton henley placket light weight  soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a threebutton placket.,men's clothing,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg,44,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
12,WD 2TB Elements Portable External Hard Drive  USB 30 ,USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity Compatibility Formatted NTFS for Windows 10 Windows 8.1 Windows 7 Reformatting may be required for other operating systems Compatibility may vary depending on users hardware configuration and operating system,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,704,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
13,Solid Gold Petite Micropave ,Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.,jewelery,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg,168,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
14,Pierced Owl Rose Gold Plated Stainless Steel Double,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,jewelery,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg,32,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
15,Mens Casual Slim Fit,The color could be slightly different between on the screen and in practice.  Please note that body builds vary by person therefore detailed size information should be reviewed below on the product description.,men's clothing,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,31,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
16,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,Expand your PS4 gaming experience Play anywhere Fast and easy setup Sleek design with high capacity 3year manufacturers limited warranty,electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,798,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
17,SanDisk SSD PLUS 1TB Internal SSD  SATA III 6 Gbs,Easy upgrade for faster boot up shutdown application load and response As compared to 5400 RPM SATA 2.5 hard drive Based on published specifications and internal benchmarking tests using PCMark vantage scores Boosts burst write performance making it ideal for typical PC workloads The perfect balance of performance and reliability Readwrite speeds of up to 535MBs450MBs Based on internal testing Performance may vary depending upon drive capacity host device OS and application.,electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,763,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
18,Acer SB220Q bi 215 inches Full HD 1920 x 1080 IPS UltraThin,21. 5 inches Full HD 1920 x 1080 widescreen IPS display And Radeon free Sync technology. No compatibility for VESA Mount Refresh Rate 75Hz  Using HDMI port Zeroframe design  ultrathin  4ms response time  IPS panel Aspect ratio  16 9. Color Supported  16. 7 million colors. Brightness  250 nit Tilt angle 5 degree to 15 degree. Horizontal viewing angle178 degree. Vertical viewing angle178 degree 75 hertz,electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4792,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
19,Samsung 49Inch CHG90 144Hz Curved Gaming Monitor LC49HG90DMNXZA  Super Ultrawide Screen QLED ,49 INCH SUPER ULTRAWIDE 329 CURVED GAMING MONITOR with dual 27 inch screen side by side QUANTUM DOT QLED TECHNOLOGY HDR support and factory calibration provides stunningly realistic and accurate color and contrast 144HZ HIGH REFRESH RATE and 1ms ultra fast response time work to eliminate motion blur ghosting and reduce input lag,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4999,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
20,BIYLACLESEN Womens 3in1 Snowboard Jacket Winter Coats,NoteThe Jackets is US standard size Please choose size as your usual wear Material 100 Polyester Detachable Liner Fabric Warm Fleece. Detachable Functional Liner Skin Friendly Lightweigt and Warm.Stand Collar Liner jacket keep you warm in cold weather. Zippered Pockets 2 Zippered Hand Pockets 2 Zippered Pockets on Chest enough to keep cards or keysand 1 Hidden Pocket Inside.Zippered Hand Pockets and Hidden Pocket keep your things secure. Humanized Design Adjustable and Detachable Hood and Adjustable cuff to prevent the wind and waterfor a comfortable fit. 3 in 1 Detachable Design provide more convenience you can separate the coat and inner as needed or wear it together. It is suitable for different season and help you adapt to different climates,women's clothing,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg,284,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
21,Lock and Love Womens Removable Hooded Faux Leather Moto Biker Jacket,100 POLYURETHANEshell 100 POLYESTERlining 75 POLYESTER 25 COTTON SWEATER Faux leather material for style and comfort  2 pockets of front 2ForOne Hooded denim style faux leather jacket Button detail on waist  Detail stitching at sides HAND WASH ONLY  DO NOT BLEACH  LINE DRY  DO NOT IRON,women's clothing,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg,59,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
23,Opna Womens Short Sleeve Moisture,100 Polyester Machine wash 100 cationic polyester interlock Machine Wash  Pre Shrunk for a Great Fit Lightweight roomy and highly breathable with moisture wicking fabric which helps to keep moisture away Soft Lightweight Fabric with comfortable Vneck collar and a slimmer fit delivers a sleek more feminine silhouette and Added Comfort,women's clothing,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_.jpg,39,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
22,Rain Jacket Women Windbreaker Striped Climbing Raincoats,Lightweight perfet for trip or casual wearLong sleeve with hooded adjustable drawstring waist design. Button and zipper front closure raincoat fully stripes Lined and The Raincoat has 2 side pockets are a good size to hold all kinds of things it covers the hips and the hood is generous but doesnt overdo it.Attached Cotton Lined Hood with Adjustable Drawstrings give it a real styled look.,women's clothing,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2.jpg,359,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
24,MBJ Womens Solid Short Sleeve Boat Neck V ,95 RAYON 5 SPANDEX Made in USA or Imported Do Not Bleach Lightweight fabric with great stretch for comfort Ribbed on sleeves and neckline  Double stitching on bottom hem,women's clothing,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg,29,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
30,John Hardy Womens Legends Naga Gold  Silver Dragon Station Chain Bracelet,From our Legends Collection the Naga was inspired by the mythical water dragon that protects the oceans pearl. Wear facing inward to be bestowed with love and abundance or outward for protection.,jewelery,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg,695,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
31,White Gold Plated Princess,Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement Wedding Anniversary Valentines Day...,jewelery,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg,79,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
37,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,Expand your PS4 gaming experience Play anywhere Fast and easy setup Sleek design with high capacity 3year manufacturers limited warranty,electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,1026,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
44,Opna Womens Short Sleeve Moisture,100 Polyester Machine wash 100 cationic polyester interlock Machine Wash  Pre Shrunk for a Great Fit Lightweight roomy and highly breathable with moisture wicking fabric which helps to keep moisture away Soft Lightweight Fabric with comfortable Vneck collar and a slimmer fit delivers a sleek more feminine silhouette and Added Comfort,women's clothing,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_.jpg,79,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
52,Solid Gold Petite Micropave ,Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.,jewelery,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg,1512,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
57,Acer SB220Q bi 215 inches Full HD 1920 x 1080 IPS UltraThin,21. 5 inches Full HD 1920 x 1080 widescreen IPS display And Radeon free Sync technology. No compatibility for VESA Mount Refresh Rate 75Hz  Using HDMI port Zeroframe design  ultrathin  4ms response time  IPS panel Aspect ratio  16 9. Color Supported  16. 7 million colors. Brightness  250 nit Tilt angle 5 degree to 15 degree. Horizontal viewing angle178 degree. Vertical viewing angle178 degree 75 hertz,electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,6589,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
64,Opna Womens Short Sleeve Moisture,100 Polyester Machine wash 100 cationic polyester interlock Machine Wash  Pre Shrunk for a Great Fit Lightweight roomy and highly breathable with moisture wicking fabric which helps to keep moisture away Soft Lightweight Fabric with comfortable Vneck collar and a slimmer fit delivers a sleek more feminine silhouette and Added Comfort,women's clothing,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_.jpg,79,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
65,DANVOUY Womens T Shirt Casual Cotton Short,95Cotton5Spandex Features Casual Short Sleeve Letter PrintVNeckFashion Tees The fabric is soft and has some stretch. Occasion CasualOfficeBeachSchoolHomeStreet. Season SpringSummerAutumnWinter.,women's clothing,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_.jpg,412,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
25,DANVOUY Womens T Shirt Casual Cotton Short,95Cotton5Spandex Features Casual Short Sleeve Letter PrintVNeckFashion Tees The fabric is soft and has some stretch. Occasion CasualOfficeBeachSchoolHomeStreet. Season SpringSummerAutumnWinter.,women's clothing,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_.jpg,77,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
32,Solid Gold Petite Micropave ,Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.,jewelery,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg,504,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
40,BIYLACLESEN Womens 3in1 Snowboard Jacket Winter Coats,NoteThe Jackets is US standard size Please choose size as your usual wear Material 100 Polyester Detachable Liner Fabric Warm Fleece. Detachable Functional Liner Skin Friendly Lightweigt and Warm.Stand Collar Liner jacket keep you warm in cold weather. Zippered Pockets 2 Zippered Hand Pockets 2 Zippered Pockets on Chest enough to keep cards or keysand 1 Hidden Pocket Inside.Zippered Hand Pockets and Hidden Pocket keep your things secure. Humanized Design Adjustable and Detachable Hood and Adjustable cuff to prevent the wind and waterfor a comfortable fit. 3 in 1 Detachable Design provide more convenience you can separate the coat and inner as needed or wear it together. It is suitable for different season and help you adapt to different climates,women's clothing,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg,569,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
49,Mens Cotton Jacket,great outerwear jackets for SpringAutumnWinter suitable for many occasions such as working hiking camping mountainrock climbing cycling traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father husband or son in this thanksgiving or Christmas Day.,men's clothing,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg,503,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
62,Rain Jacket Women Windbreaker Striped Climbing Raincoats,Lightweight perfet for trip or casual wearLong sleeve with hooded adjustable drawstring waist design. Button and zipper front closure raincoat fully stripes Lined and The Raincoat has 2 side pockets are a good size to hold all kinds of things it covers the hips and the hood is generous but doesnt overdo it.Attached Cotton Lined Hood with Adjustable Drawstrings give it a real styled look.,women's clothing,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2.jpg,339,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
26,Mens Casual Premium Slim Fit TShirts ,Slimfitting style contrast raglan long sleeve threebutton henley placket light weight  soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a threebutton placket.,men's clothing,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg,111,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
34,WD 2TB Elements Portable External Hard Drive  USB 30 ,USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity Compatibility Formatted NTFS for Windows 10 Windows 8.1 Windows 7 Reformatting may be required for other operating systems Compatibility may vary depending on users hardware configuration and operating system,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,640,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
41,Lock and Love Womens Removable Hooded Faux Leather Moto Biker Jacket,100 POLYURETHANEshell 100 POLYESTERlining 75 POLYESTER 25 COTTON SWEATER Faux leather material for style and comfort  2 pockets of front 2ForOne Hooded denim style faux leather jacket Button detail on waist  Detail stitching at sides HAND WASH ONLY  DO NOT BLEACH  LINE DRY  DO NOT IRON,women's clothing,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg,269,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
47,Mens Casual Premium Slim Fit TShirts ,Slimfitting style contrast raglan long sleeve threebutton henley placket light weight  soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a threebutton placket.,men's clothing,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg,89,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
56,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 25,3D NAND flash are applied to deliver high transfer speeds Remarkable transfer speeds that enable faster bootup and improved overall system performance. The advanced SLC Cache Technology allows performance boost and longer lifespan 7mm slim design suitable for Ultrabooks and Ultraslim notebooks. Supports TRIM command Garbage Collection technology RAID and ECC Error Checking  Correction to provide the optimized performance and enhanced reliability.,electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,981,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
27,Fjallraven  Foldsack No 1 Backpack Fits 15 Laptops,Your perfect pack for everyday use and walks in the forest. Stash your laptop up to 15 inches in the padded sleeve your everyday,men's clothing,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg,439,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
46,Fjallraven  Foldsack No 1 Backpack Fits 15 Laptops,Your perfect pack for everyday use and walks in the forest. Stash your laptop up to 15 inches in the padded sleeve your everyday,men's clothing,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg,549,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
53,Pierced Owl Rose Gold Plated Stainless Steel Double,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,jewelery,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg,87,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
60,Samsung 49Inch CHG90 144Hz Curved Gaming Monitor LC49HG90DMNXZA  Super Ultrawide Screen QLED ,49 INCH SUPER ULTRAWIDE 329 CURVED GAMING MONITOR with dual 27 inch screen side by side QUANTUM DOT QLED TECHNOLOGY HDR support and factory calibration provides stunningly realistic and accurate color and contrast 144HZ HIGH REFRESH RATE and 1ms ultra fast response time work to eliminate motion blur ghosting and reduce input lag,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,999,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
28,Mens Casual Slim Fit,The color could be slightly different between on the screen and in practice.  Please note that body builds vary by person therefore detailed size information should be reviewed below on the product description.,men's clothing,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,31,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
36,SanDisk SSD PLUS 1TB Internal SSD  SATA III 6 Gbs,Easy upgrade for faster boot up shutdown application load and response As compared to 5400 RPM SATA 2.5 hard drive Based on published specifications and internal benchmarking tests using PCMark vantage scores Boosts burst write performance making it ideal for typical PC workloads The perfect balance of performance and reliability Readwrite speeds of up to 535MBs450MBs Based on internal testing Performance may vary depending upon drive capacity host device OS and application.,electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,218,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
42,MBJ Womens Solid Short Sleeve Boat Neck V ,95 RAYON 5 SPANDEX Made in USA or Imported Do Not Bleach Lightweight fabric with great stretch for comfort Ribbed on sleeves and neckline  Double stitching on bottom hem,women's clothing,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg,29,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
50,John Hardy Womens Legends Naga Gold  Silver Dragon Station Chain Bracelet,From our Legends Collection the Naga was inspired by the mythical water dragon that protects the oceans pearl. Wear facing inward to be bestowed with love and abundance or outward for protection.,jewelery,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg,6950,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
58,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,Expand your PS4 gaming experience Play anywhere Fast and easy setup Sleek design with high capacity 3year manufacturers limited warranty,electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,1254,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
29,Mens Cotton Jacket,great outerwear jackets for SpringAutumnWinter suitable for many occasions such as working hiking camping mountainrock climbing cycling traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father husband or son in this thanksgiving or Christmas Day.,men's clothing,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg,559,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
39,Samsung 49Inch CHG90 144Hz Curved Gaming Monitor LC49HG90DMNXZA  Super Ultrawide Screen QLED ,49 INCH SUPER ULTRAWIDE 329 CURVED GAMING MONITOR with dual 27 inch screen side by side QUANTUM DOT QLED TECHNOLOGY HDR support and factory calibration provides stunningly realistic and accurate color and contrast 144HZ HIGH REFRESH RATE and 1ms ultra fast response time work to eliminate motion blur ghosting and reduce input lag,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,999,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
48,Mens Casual Slim Fit,The color could be slightly different between on the screen and in practice.  Please note that body builds vary by person therefore detailed size information should be reviewed below on the product description.,men's clothing,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,63,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
63,MBJ Womens Solid Short Sleeve Boat Neck V ,95 RAYON 5 SPANDEX Made in USA or Imported Do Not Bleach Lightweight fabric with great stretch for comfort Ribbed on sleeves and neckline  Double stitching on bottom hem,women's clothing,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg,59,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
33,Pierced Owl Rose Gold Plated Stainless Steel Double,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,jewelery,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg,131,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
43,Rain Jacket Women Windbreaker Striped Climbing Raincoats,Lightweight perfet for trip or casual wearLong sleeve with hooded adjustable drawstring waist design. Button and zipper front closure raincoat fully stripes Lined and The Raincoat has 2 side pockets are a good size to hold all kinds of things it covers the hips and the hood is generous but doesnt overdo it.Attached Cotton Lined Hood with Adjustable Drawstrings give it a real styled look.,women's clothing,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2.jpg,279,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
51,White Gold Plated Princess,Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement Wedding Anniversary Valentines Day...,jewelery,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg,109,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
61,Lock and Love Womens Removable Hooded Faux Leather Moto Biker Jacket,100 POLYURETHANEshell 100 POLYESTERlining 75 POLYESTER 25 COTTON SWEATER Faux leather material for style and comfort  2 pockets of front 2ForOne Hooded denim style faux leather jacket Button detail on waist  Detail stitching at sides HAND WASH ONLY  DO NOT BLEACH  LINE DRY  DO NOT IRON,women's clothing,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg,179,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
35,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 25,3D NAND flash are applied to deliver high transfer speeds Remarkable transfer speeds that enable faster bootup and improved overall system performance. The advanced SLC Cache Technology allows performance boost and longer lifespan 7mm slim design suitable for Ultrabooks and Ultraslim notebooks. Supports TRIM command Garbage Collection technology RAID and ECC Error Checking  Correction to provide the optimized performance and enhanced reliability.,electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,545,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
38,Acer SB220Q bi 215 inches Full HD 1920 x 1080 IPS UltraThin,21. 5 inches Full HD 1920 x 1080 widescreen IPS display And Radeon free Sync technology. No compatibility for VESA Mount Refresh Rate 75Hz  Using HDMI port Zeroframe design  ultrathin  4ms response time  IPS panel Aspect ratio  16 9. Color Supported  16. 7 million colors. Brightness  250 nit Tilt angle 5 degree to 15 degree. Horizontal viewing angle178 degree. Vertical viewing angle178 degree 75 hertz,electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,1198,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
45,DANVOUY Womens T Shirt Casual Cotton Short,95Cotton5Spandex Features Casual Short Sleeve Letter PrintVNeckFashion Tees The fabric is soft and has some stretch. Occasion CasualOfficeBeachSchoolHomeStreet. Season SpringSummerAutumnWinter.,women's clothing,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_.jpg,129,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
54,WD 2TB Elements Portable External Hard Drive  USB 30 ,USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity Compatibility Formatted NTFS for Windows 10 Windows 8.1 Windows 7 Reformatting may be required for other operating systems Compatibility may vary depending on users hardware configuration and operating system,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,768,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
55,SanDisk SSD PLUS 1TB Internal SSD  SATA III 6 Gbs,Easy upgrade for faster boot up shutdown application load and response As compared to 5400 RPM SATA 2.5 hard drive Based on published specifications and internal benchmarking tests using PCMark vantage scores Boosts burst write performance making it ideal for typical PC workloads The perfect balance of performance and reliability Readwrite speeds of up to 535MBs450MBs Based on internal testing Performance may vary depending upon drive capacity host device OS and application.,electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,1090,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
59,BIYLACLESEN Womens 3in1 Snowboard Jacket Winter Coats,NoteThe Jackets is US standard size Please choose size as your usual wear Material 100 Polyester Detachable Liner Fabric Warm Fleece. Detachable Functional Liner Skin Friendly Lightweigt and Warm.Stand Collar Liner jacket keep you warm in cold weather. Zippered Pockets 2 Zippered Hand Pockets 2 Zippered Pockets on Chest enough to keep cards or keysand 1 Hidden Pocket Inside.Zippered Hand Pockets and Hidden Pocket keep your things secure. Humanized Design Adjustable and Detachable Hood and Adjustable cuff to prevent the wind and waterfor a comfortable fit. 3 in 1 Detachable Design provide more convenience you can separate the coat and inner as needed or wear it together. It is suitable for different season and help you adapt to different climates,women's clothing,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg,626,2023-09-22 11:28:53.740 +0530,2023-09-22 11:28:53.740 +0530
